ตำแหน่ง,กลุ่ม,ลำดับ,ชื่อวิชา/หัวข้อ,ประเภทที่ต้องตรวจ,สถานะลิงก์คลิปในชีต,สถานะเอกสาร,ลิงก์โพสต์/กลุ่มในชีต,ลงคลิป(คอลัมน์ชีต),มีคลิปในเครื่อง?,ระดับการจับคู่,คะแนน,คลิปที่น่าจะตรงที่สุด,path คลิป,คำที่เจอ,ปีในคลิป,หมายเหตุ,อัปเดตล่าสุด
กทม. พนักงานเทศกิจปฏิบัติงาน,กทม. พนักงานเทศกิจปฏิบัติงาน,2,บทบาทและอำนาจของเจ้าหน้าที่เทศกิจในเรื่องการจับ การปรับ การดำเนินคดี การยึดอายัดเอกสารหลักฐาน ยานพาหนะ หรือสิ่งใด ๆ ที่เกี่ยวข้องกับการกระทำผิด ตามประมวลกฎหมายอาญา ประมวลกฎหมายวิธีพิจารณาความอาญา ความเข้าใจในกฎหมายปกครองเพื่อป้องกันการถูกดำเนินคดีทางปกครอง การดำเนินการทางปกครอง,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/1663666134840541/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. พนักงานเทศกิจปฏิบัติงาน,กทม. พนักงานเทศกิจปฏิบัติงาน,3,พระราชบัญญัติรักษาความสะอาดและความเป็นระเบียบเรียบร้อยของบ้านเมือง พ.ศ. 2535 และที่แก้ไขเพิ่มเติม,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/1663666134840541/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. พนักงานเทศกิจปฏิบัติงาน,กทม. พนักงานเทศกิจปฏิบัติงาน,4,พระราชบัญญัติการสาธารณสุข พ.ศ. 2535 และที่แก้ไขเพิ่มเติม,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/1663666134840541/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. พนักงานเทศกิจปฏิบัติงาน,กทม. พนักงานเทศกิจปฏิบัติงาน,5,พระราชบัญญัติควบคุมอาคาร พ.ศ. 2522 และที่แก้ไขเพิ่มเติม ในส่วนของการบังคับที่อยู่ในอำนาจหน้าที่ของกรุงเทพมหานคร,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/1663666134840541/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. พนักงานเทศกิจปฏิบัติงาน,กทม. พนักงานเทศกิจปฏิบัติงาน,6,พระราชบัญญัติการขุดดินและถมดิน พ.ศ. 2553 และข้อบัญญัติกรุงเทพมหานคร เรื่อง ควบคุมการขุดดิน การถมดิน พ.ศ. 2534,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/1663666134840541/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. พนักงานเทศกิจปฏิบัติงาน,กทม. พนักงานเทศกิจปฏิบัติงาน,8,พระราชบัญญัติระเบียบบริหารราชการกรุงเทพมหานคร พ.ศ. 2528 และที่แก้ไขเพิ่มเติม,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/1663666134840541/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. พนักงานเทศกิจปฏิบัติงาน,กทม. พนักงานเทศกิจปฏิบัติงาน,9,พระราชบัญญัติระเบียบข้าราชการกรุงเทพมหานครและบุคลากรกรุงเทพมหานคร พ.ศ. 2554,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/1663666134840541/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. พนักงานเทศกิจปฏิบัติงาน,กทม. พนักงานเทศกิจปฏิบัติงาน,12,พระราชบัญญัติคุ้มครองข้อมูลส่วนบุคคล พ.ศ. 2562,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ลงลิงก์แล้ว,https://www.facebook.com/groups/1663666134840541/announcements?locale=th_TH,,มี,ตรงมาก,100,05_PDPA_ตัวเลือกสั้น_28042026.mp4,D:\ตัดแล้ว\เตรียมคลิป สป อว\05 พระราชบัญญัติ คุ้มครองข้อมูลส่วนบุคคล 2562 PDPA\05_PDPA_ตัวเลือกสั้น_28042026.mp4,พระราชบัญญัติคุ้มครองข้อมูลส่วนบุคคล | คุ้มครองข้อมูลส่วนบุคคล | 2562 | pdpa | ข้อมูลส่วนบุคคล,2562,,
กทม. พนักงานเทศกิจปฏิบัติงาน,กทม. พนักงานเทศกิจปฏิบัติงาน,13,ข้อบัญญัติกรุงเทพมหานคร เรื่อง การจำหน่ายสินค้าในที่หรือทางสาธารณะ พ.ศ. 2555,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/1663666134840541/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. พนักงานเทศกิจปฏิบัติงาน,กทม. พนักงานเทศกิจปฏิบัติงาน,14,ระเบียบกรุงเทพมหานครว่าด้วยการดำเนินคดี พ.ศ. 2528,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/1663666134840541/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. พนักงานเทศกิจปฏิบัติงาน,กทม. พนักงานเทศกิจปฏิบัติงาน,15,ประกาศกรุงเทพมหานคร เรื่อง หลักเกณฑ์ วิธีการ และเงื่อนไขการกำหนดพื้นที่ทำการค้า และการขายหรือจำหน่ายสินค้าบนถนนหรือสถานสาธารณะ ลงวันที่ 29 สิงหาคม พ.ศ. 2567,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/1663666134840541/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,1,ความรู้ทั่วไปเกี่ยวกับกรมพัฒนาชุมชน ประวัติความเป็นมา ภารกิจ วิสัยทัศน์ และค่านิยมองค์กร,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1242664327590257,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,2,ความรู้เกี่ยวกับกฎหมายและระเบียบที่เกี่ยวข้องกับการปฏิบัติราชการทั่วไป,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1242664327590257,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,8,พระราชบัญญัติ การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ลงลิงก์แล้ว,https://www.facebook.com/groups/1242664327590257,,มี,ตรงมาก,100,ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 EP4.mp4,D:\ตัดแล้ว\การเงิน\10 จัดซื้อจัดจ้าง\02 ระเบียบ จัดซื้อ\ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 EP4.mp4,การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ | 2560,2560,,
กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,12,ระเบียบสำนักนายกรัฐมนตรีว่าด้วยงานสารบรรณ พ.ศ. 2526 และที่แก้ไขเพิ่มเติม,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/1242664327590257,ลงคลิปแล้ว,มี,ตรงมาก,100,07 - ระเบียบสำนักนายกรัฐมนตรีว่าด้วยงานสารบรรณ พ.ศ. 2526 และที่แก้ไขเพิ่มเติม.mp4,D:\ตัดแล้ว\เตรียมคลิป สป อว\07 - ระเบียบสำนักนายกรัฐมนตรีว่าด้วยงานสารบรรณ พ.ศ. 2526 และที่แก้ไขเพิ่มเติม.mp4,ระเบียบสำนักนายกรัฐมนตรีว่าด้วยงานสารบรรณ | สำนักนายกรัฐมนตรีว่าด้วยงานสารบรรณ | 2526 | สารบรรณ | งานสารบรรณ,2526,,2026-06-04T08:47:19.981Z
กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,13,ประมวลจริยธรรมข้าราชการพลเรือน พ.ศ. 2564,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1242664327590257,,มี,มีคลิปใกล้เคียง ต้องตรวจ,51,พรบ.ขรกพลเรือน ครั้งที่ 1 ปภ.mp4,D:\ตัดแล้ว\เมษา 69\30042026\พรบ.ขรกพลเรือน ครั้งที่ 1 ปภ.mp4,พลเรือน | ก พ | กพ,,,
กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,14,ข้อกำหนดจริยธรรมข้าราชการกรมพัฒนาชุมชน พ.ศ. 2564,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1242664327590257,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,15,ความรู้ทั่วไปเกี่ยวกับเศรษฐกิจ สังคม การเมือง และเหตุการณ์ปัจจุบัน,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1242664327590257,,มี,น่าจะตรง,64,ความรู้สถานการณ์ สังคม เศรษฐกิจ การเมืองการปกครอง.mp4,D:\ตัดแล้ว\มีนาคม 69\04032026\ความรู้สถานการณ์ สังคม เศรษฐกิจ การเมืองการปกครอง.mp4,สังคม | การเมือง,,,
กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,17,ความรู้เกี่ยวกับงานสารบรรณ,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1242664327590257,,มี,ตรงมาก,89,07 - ระเบียบสำนักนายกรัฐมนตรีว่าด้วยงานสารบรรณ พ.ศ. 2526 และที่แก้ไขเพิ่มเติม.mp4,D:\ตัดแล้ว\เตรียมคลิป สป อว\07 - ระเบียบสำนักนายกรัฐมนตรีว่าด้วยงานสารบรรณ พ.ศ. 2526 และที่แก้ไขเพิ่มเติม.mp4,งานสารบรรณ | สารบรรณ | 2526,2526,,
กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,18,ความรู้เกี่ยวกับการจัดการสำนักงาน ความรู้เบื้องต้นของงานสำนักงาน การวิเคราะห์และพัฒนาระบบงานในสำนักงาน การจัดองค์การและโครงสร้างในสำนักงาน การบริหารทรัพยากรมนุษย์ในสำนักงาน การบริหารงานเอกสารและการจัดการงาน งานพัสดุและระเบียบวิธีปฏิบัติของงานสำนักงาน การจัดการเครื่องมืออุปกรณ์และเทคโนโลยีในรูปแบบสำนักงานอัตโนมัติ,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1242664327590257,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรมการพัฒนาชุมชน / พัฒนากร,กรมการพัฒนาชุมชน / พัฒนากร,2,ความรู้ทั่วไปเกี่ยวกับกรมการพัฒนาชุมชน ประวัติความเป็นมา ภารกิจ วิสัยทัศน์ ค่านิยมองค์กร,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1242664327590257/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรมการพัฒนาชุมชน / พัฒนากร,กรมการพัฒนาชุมชน / พัฒนากร,7,พระราชบัญญัติ การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ลงลิงก์แล้ว,https://www.facebook.com/groups/1242664327590257/announcements?locale=th_TH,,มี,ตรงมาก,100,ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 EP4.mp4,D:\ตัดแล้ว\การเงิน\10 จัดซื้อจัดจ้าง\02 ระเบียบ จัดซื้อ\ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 EP4.mp4,การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ | 2560,2560,,
กรมการพัฒนาชุมชน / พัฒนากร,กรมการพัฒนาชุมชน / พัฒนากร,13,ประมวลจริยธรรมข้าราชการพลเรือน (พ.ศ. 2564) และข้อกำหนดจริยธรรมข้าราชการกรมการพัฒนาชุมชน,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1242664327590257/announcements?locale=th_TH,,มี,มีคลิปใกล้เคียง ต้องตรวจ,48,พรบ.ขรกพลเรือน ครั้งที่ 1 ปภ.mp4,D:\ตัดแล้ว\เมษา 69\30042026\พรบ.ขรกพลเรือน ครั้งที่ 1 ปภ.mp4,พลเรือน | ก พ | กพ,,,
กรมการพัฒนาชุมชน / พัฒนากร,กรมการพัฒนาชุมชน / พัฒนากร,14,"ระเบียบที่เกี่ยวข้องกับการปฏิบัติงานในตำแหน่งนักวิชาการพัฒนาชุมชน (เช่น ระเบียบกระทรวงมหาดไทยว่าด้วยการอาสาพัฒนาชุมชน, ระเบียบกระทรวงมหาดไทยว่าด้วยคณะกรรมการพัฒนาสตรี ฯลฯ)",ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1242664327590257/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรมการพัฒนาชุมชน / พัฒนากร,กรมการพัฒนาชุมชน / พัฒนากร,15,ยุทธศาสตร์ชาติ (พ.ศ. 2561 - 2580) และคำแถลงนโยบายของคณะรัฐมนตรี (รัฐบาลปัจจุบัน),ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1242664327590257/announcements?locale=th_TH,,มี,มีคลิปใกล้เคียง ต้องตรวจ,42,07_นโยบายแห่งรัฐ_ยุทธศาสตร์ชาติ_ตัวเลือกหลัก_61-80.mp4,D:\ตัดแล้ว\เตรียมคลิปลง กตต\07 ยุทธศาสตร์ชาติ 20 ปี\07_นโยบายแห่งรัฐ_ยุทธศาสตร์ชาติ_ตัวเลือกหลัก_61-80.mp4,ยุทธศาสตร์ชาติ | นโยบายแห่งรัฐ | ยุทธศาสตร์ชาติ 20 ปี | ยุทธศาสตร์ชาติ20ปี,,,
กรมการพัฒนาชุมชน / พัฒนากร,กรมการพัฒนาชุมชน / พัฒนากร,16,แผนปฏิบัติราชการกระทรวงมหาดไทย ประเด็นการพัฒนากรมการพัฒนาชุมชน และโครงการ/กิจกรรม สำคัญของกรมการพัฒนาชุมชน,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1242664327590257/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรมการพัฒนาชุมชน / พัฒนากร,กรมการพัฒนาชุมชน / พัฒนากร,17,ความรู้ทั่วไปเกี่ยวกับเศรษฐกิจ สังคม การเมือง และเหตุการณ์ปัจจุบัน,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1242664327590257/announcements?locale=th_TH,,มี,น่าจะตรง,64,ความรู้สถานการณ์ สังคม เศรษฐกิจ การเมืองการปกครอง.mp4,D:\ตัดแล้ว\มีนาคม 69\04032026\ความรู้สถานการณ์ สังคม เศรษฐกิจ การเมืองการปกครอง.mp4,สังคม | การเมือง,,,
กรมคุ้มครองสิทธิและเสรีภาพ,กรมคุ้มครองสิทธิและเสรีภาพ by พี่ซุนวู,1.3,พระราชกฤษฎีกา ว่าด้วยหลักเกณฑ์และวิธีการบริหารกิจการบ้านเมืองที่ดี พ.ศ. 2546,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ลงลิงก์แล้ว,https://www.facebook.com/groups/2212543922835815,,มี,ตรงมาก,100,06 - พระราชกฤษฎีกาว่าด้วยหลักเกณฑ์และวิธีการบริหารกิจการบ้านเมืองที่ดี พ.ศ. 2546.mp4,D:\ตัดแล้ว\เตรียมคลิป สป อว\06 - พระราชกฤษฎีกาว่าด้วยหลักเกณฑ์และวิธีการบริหารกิจการบ้านเมืองที่ดี พ.ศ. 2546.mp4,ว่าด้วยหลักเกณฑ์และวิธีการบริหารกิจการบ้านเมืองที่ดี | หลักเกณฑ์และวิธีการบริหารกิจการบ้านเมืองที่ดี | 2546 | กิจการบ้านเมืองที่ดี | บ้านเมืองที่ดี,2546,,
กรมคุ้มครองสิทธิและเสรีภาพ,กรมคุ้มครองสิทธิและเสรีภาพ by พี่ซุนวู,1.4,พระราชบัญญัติ ข้อมูลข่าวสารของราชการ พ.ศ. 2540,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ลงลิงก์แล้ว,https://www.facebook.com/groups/2212543922835815,,มี,ตรงมาก,100,04_ข้อมูลข่าวสาร_2540_ตัวเลือกหลัก_15052026.mp4,D:\ตัดแล้ว\เตรียมคลิป สป อว\04 พระราชบัญญัติ ข้อมูลข่าวสารของราชการ 2540\04_ข้อมูลข่าวสาร_2540_ตัวเลือกหลัก_15052026.mp4,ข้อมูลข่าวสารของราชการ | 2540 | ข้อมูลข่าวสาร,2540,,2026-06-02T06:01:00.797Z
กรมคุ้มครองสิทธิและเสรีภาพ,กรมคุ้มครองสิทธิและเสรีภาพ by พี่ซุนวู,1.5,พระราชบัญญัติ การอำนวยความสะดวกในการพิจารณาอนุญาตของทาง ราชการ พ.ศ. 2558,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/2212543922835815,,มี,มีคลิปใกล้เคียง ต้องตรวจ,40,EP 2 - ความรู้ด้านการเมือง การปกครอง และการบริหารร.mp4,D:\ตัดแล้ว\ความรู้ด้านการเมือง การปกครอง และการบริหารราชการ\EP 2 - ความรู้ด้านการเมือง การปกครอง และการบริหารร.mp4,ราชการ,,,
กรมคุ้มครองสิทธิและเสรีภาพ,กรมคุ้มครองสิทธิและเสรีภาพ by พี่ซุนวู,1.7,ระเบียบสำนักนายกรัฐมนตรีว่าด้วยการลาของข้าราชการ พ.ศ. 2555,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ลงลิงก์แล้ว,https://www.facebook.com/groups/2212543922835815,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรมคุ้มครองสิทธิและเสรีภาพ,กรมคุ้มครองสิทธิและเสรีภาพ by พี่ซุนวู,1.10,พระราชบัญญัติ การปฏิบัติราชการทางอิเล็กทรอนิกส์ พ.ศ. 2565,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ลงลิงก์แล้ว,https://www.facebook.com/groups/2212543922835815,,มี,ตรงมาก,100,คลิปหลัก - คลิปหลัก - พระราชบัญญัติ การปฏิบัติราชการทางอิเล็กทรอนิกส์ พ.ศ. 2565.mp4,D:\ตัดแล้ว\พฤษภา 69\27052026\สปสธ จพน การเงิน\11 พระราชบัญญัติการปฏิบัติราชการทางอิเล็กทรอนิกส์ พ.ศ. 2565\คลิปหลัก - คลิปหลัก - พระราชบัญญัติ การปฏิบัติราชการทางอิเล็กทรอนิกส์ พ.ศ. 2565.mp4,การปฏิบัติราชการทางอิเล็กทรอนิกส์ | 2565 | อิเล็กทรอนิกส์,2565,,
กรมคุ้มครองสิทธิและเสรีภาพ,กรมคุ้มครองสิทธิและเสรีภาพ by พี่ซุนวู,1.11,พระราชบัญญัติ มาตรฐานทางจริยธรรม พ.ศ. 2562 และประมวล จริยธรรมข้าราชการพลเรือน การเป็นข้าราชการที่ดี รวมถึงหลักธรรมาภิบาล,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/2212543922835815,,มี,มีคลิปใกล้เคียง ต้องตรวจ,42,พรบ.ขรกพลเรือน ครั้งที่ 1 ปภ.mp4,D:\ตัดแล้ว\เมษา 69\30042026\พรบ.ขรกพลเรือน ครั้งที่ 1 ปภ.mp4,พลเรือน | ก พ | กพ,,,
กรมคุ้มครองสิทธิและเสรีภาพ,กรมคุ้มครองสิทธิและเสรีภาพ by พี่ซุนวู,2.1,ความรู้เกี่ยวกับกรมคุ้มครองสิทธิและเสรีภาพ,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/2212543922835815,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรมคุ้มครองสิทธิและเสรีภาพ,กรมคุ้มครองสิทธิและเสรีภาพ by พี่ซุนวู,2.2,ความรู้เกี่ยวกับสิทธิและเสรีภาพ และสิทธิมนุษยชน,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/2212543922835815,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรมคุ้มครองสิทธิและเสรีภาพ,กรมคุ้มครองสิทธิและเสรีภาพ by พี่ซุนวู,2.3,แผนสิทธิมนุษยชนแห่งชาติ,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/2212543922835815,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรมคุ้มครองสิทธิและเสรีภาพ,กรมคุ้มครองสิทธิและเสรีภาพ by พี่ซุนวู,2.4,แผนปฏิบัติการระดับชาติว่าด้วยธุรกิจกับสิทธิมนุษยชน,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/2212543922835815,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรมคุ้มครองสิทธิและเสรีภาพ,กรมคุ้มครองสิทธิและเสรีภาพ by พี่ซุนวู,2.5,พระราชบัญญัติ ค่าตอบแทนผู้เสียหาย และค่าทดแทนและค่าใช้จ่ายแก่จำเลย ในคดีอาญา พ.ศ. 2544 และที่แก้ไขเพิ่มเติม,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/2212543922835815,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรมคุ้มครองสิทธิและเสรีภาพ,กรมคุ้มครองสิทธิและเสรีภาพ by พี่ซุนวู,2.6,พระราชบัญญัติ คุ้มครองพยานในคดีอาญา พ.ศ. 2546 และที่แก้ไขเพิ่มเติม และระเบียบที่เกี่ยวข้อง,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/2212543922835815,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรมคุ้มครองสิทธิและเสรีภาพ,กรมคุ้มครองสิทธิและเสรีภาพ by พี่ซุนวู,2.7,พระราชบัญญัติ การไกล่เกลี่ยข้อพิพาท พ.ศ. 2562 และระเบียบข้อปฏิบัติ ที่เกี่ยวข้อง,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/2212543922835815,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรมคุ้มครองสิทธิและเสรีภาพ,กรมคุ้มครองสิทธิและเสรีภาพ by พี่ซุนวู,2.8,การช่วยเหลือประชาชนทางกฎหมาย,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/2212543922835815,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรมคุ้มครองสิทธิและเสรีภาพ,กรมคุ้มครองสิทธิและเสรีภาพ by พี่ซุนวู,2.9,การจัดการเรื่องราวร้องทุกข์ ตามระเบียบสำนักนายกรัฐมนตรีว่าด้วย การจัดการเรื่องราวร้องทุกข์ พ.ศ. 2552,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/2212543922835815,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรมคุ้มครองสิทธิและเสรีภาพ,กรมคุ้มครองสิทธิและเสรีภาพ by พี่ซุนวู,2.10,การส่งเสริมสิทธิผู้ต้องหาในชั้นสอบสวนคดีอาญา,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/2212543922835815,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรม ปภ. เจ้าพนักงานการเงินและบัญชี,กรม ปภ. เจ้าพนักงานการเงินและบัญชี,1.2,ความรู้เกี่ยวกับสถานการณ์สาธารณภัย การบริหารจัดการสาธารณภัยของประเทศไทย และของโลก,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/839569219190554/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กรม ปภ. เจ้าพนักงานการเงินและบัญชี,กรม ปภ. เจ้าพนักงานการเงินและบัญชี,1.3,ความรู้เกี่ยวกับการเมือง เศรษฐกิจและสังคม,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/839569219190554/announcements?locale=th_TH,,มี,มีคลิปใกล้เคียง ต้องตรวจ,40,EP 2 - ความรู้ด้านการเมือง การปกครอง และการบริหารร.mp4,D:\ตัดแล้ว\ความรู้ด้านการเมือง การปกครอง และการบริหารราชการ\EP 2 - ความรู้ด้านการเมือง การปกครอง และการบริหารร.mp4,การเมือง,,,
กรม ปภ. เจ้าพนักงานการเงินและบัญชี,กรม ปภ. เจ้าพนักงานการเงินและบัญชี,1.4,ความรู้เกี่ยวกับกรมป้องกันและบรรเทาสาธารณภัย,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/839569219190554/announcements?locale=th_TH,ยังไม่สอน,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,อ.ลูกจันทร์,
